source_id,region,jurisdiction,government_level,system_name,official_entry_point,access_class,priority_class,state,discovery_basis,notes
CY_EPROCUREMENT,EUROPE,Cyprus,NATIONAL,eProcurement Cyprus,https://www.eprocurement.gov.cy/,OFFICIAL_PORTAL_FEASIBILITY,P3,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
CZ_NEN,EUROPE,Czech Republic,NATIONAL,Národní elektronický nástroj,https://nen.nipez.cz/,OFFICIAL_PORTAL_FEASIBILITY,P3,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
DK_UDBUD,EUROPE,Denmark,NATIONAL,Udbud.dk,https://udbud.dk/,OFFICIAL_PORTAL_FEASIBILITY,P3,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
EE_RHR,EUROPE,Estonia,NATIONAL,Public Procurement Register,https://riigihanked.riik.ee/,OFFICIAL_PORTAL_FEASIBILITY,P3,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
FI_HILMA,EUROPE,Finland,NATIONAL,HILMA,https://www.hankintailmoitukset.fi/,OFFICIAL_PORTAL_FEASIBILITY,P3,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
GR_PROMITHEUS,EUROPE,Greece,NATIONAL,Promitheus / ESIDIS,https://promitheus.gov.gr/,OFFICIAL_PORTAL_FEASIBILITY,P3,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
HU_EKR,EUROPE,Hungary,NATIONAL,Electronic Public Procurement System,https://ekr.gov.hu/,OFFICIAL_PORTAL_FEASIBILITY,P3,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
XK_PPRC_OCDS,EUROPE,Kosovo,NATIONAL,PPRC OCDS publication,https://ocdskrpp.rks-gov.net/,OFFICIAL_OCDS_API,P3,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
LV_EIS,EUROPE,Latvia,NATIONAL,Electronic Procurement System,https://www.eis.gov.lv/,OFFICIAL_PORTAL_FEASIBILITY,P3,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
LT_CVPP,EUROPE,Lithuania,NATIONAL,Central Public Procurement Information System,https://cvpp.eviesiejipirkimai.lt/,OFFICIAL_PORTAL_FEASIBILITY,P3,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
LU_PUBLIC_PROCUREMENT,EUROPE,Luxembourg,NATIONAL,Public Procurement Portal,https://marches.public.lu/,OFFICIAL_PORTAL_FEASIBILITY,P3,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
MK_ESPP,EUROPE,North Macedonia,NATIONAL,Electronic System for Public Procurement,https://e-nabavki.gov.mk/,OFFICIAL_PORTAL_FEASIBILITY,P3,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
RS_PORTAL_JN,EUROPE,Serbia,NATIONAL,Public Procurement Portal,https://jnportal.ujn.gov.rs/,OFFICIAL_PORTAL_FEASIBILITY,P3,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
SK_EVO,EUROPE,Slovakia,NATIONAL,Electronic Public Procurement,https://evo.isepvo.sk/,OFFICIAL_PORTAL_FEASIBILITY,P3,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
SI_EJN,EUROPE,Slovenia,NATIONAL,e-JN,https://ejn.gov.si/,OFFICIAL_PORTAL_FEASIBILITY,P3,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
SE_NATIONAL_NOTICE_MARKET,EUROPE,Sweden,NATIONAL,Swedish procurement notice ecosystem,https://www.upphandlingsmyndigheten.se/,OFFICIAL_IDENTITY_TO_VERIFY,P3,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,Official authority; notice database/API identity requires profiling.
IS_RIKISKAUP,EUROPE,Iceland,NATIONAL,Ríkiskaup procurement portal,https://www.rikiskaup.is/,OFFICIAL_IDENTITY_TO_VERIFY,P4,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
